src,trg,model1,model2,sig_wsr,sig_mar
en,de,mbart,m2m,True,True
en,de,mbart,flant5,True,True
en,de,mbart,nllb,True,False
en,de,m2m,flant5,True,True
en,de,m2m,nllb,True,True
en,de,flant5,nllb,True,True
de,en,mbart,m2m,True,True
de,en,mbart,flant5,True,True
de,en,mbart,nllb,True,True
de,en,m2m,flant5,True,True
de,en,m2m,nllb,True,True
de,en,flant5,nllb,True,True
en,es,mbart,m2m,True,True
en,es,mbart,flant5,True,True
en,es,mbart,nllb,True,False
en,es,m2m,flant5,True,True
en,es,m2m,nllb,True,False
en,es,flant5,nllb,True,True
gl,en,flant5,nllb,False,True
en,gl,m2m,flant5,True,True
en,gl,m2m,nllb,True,True
en,gl,flant5,nllb,True,True
sw,en,m2m,flant5,True,True
en,sw,m2m,flant5,True,True
en,sw,m2m,nllb,True,True
en,sw,flant5,nllb,True,True
sw,en,mbart,m2m,True,True
sw,en,mbart,flant5,False,True
sw,en,m2m,flant5,True,True
en,sw,mbart,m2m,True,True
en,sw,mbart,flant5,True,True
en,sw,mbart,nllb,True,True
en,sw,m2m,flant5,True,True
en,sw,m2m,nllb,True,True
en,sw,flant5,nllb,True,True
gl,en,mbart,m2m,False,True
gl,en,mbart,m2m,False,True
gl,en,mbart,flant5,True,True
gl,en,mbart,nllb,True,True
gl,en,m2m,flant5,True,True
gl,en,m2m,nllb,True,True
gl,en,flant5,nllb,False,True
en,gl,m2m,flant5,True,True
en,gl,m2m,nllb,True,True
en,gl,flant5,nllb,True,True
