par,filtro,valor,punt,wsr,mar
fren,long,2,True,0.3325,0.6386
fren,long,2,False,0.3617,0.7829
fren,long,3,True,0.3306,0.6036
fren,long,3,False,0.3304,0.6076  
fren,long,4,True,0.3358,0.6039
fren,long,5,True,0.3394,0.6069
fren,long,5,False,0.3385,0.6084
fren,num,0.001,True,null,null
fren,num,0.01,true,null,null
fren,num,0.1,True,0.3618,0.7831
fren,num,0.2,True,0.3617,0.7829
fren,num,0.3,True,0.3617,0.7829
fren,num,0.8,True,0.3617,0.7829
fren,near,1,True,0.3293,0.6511
fren,near,2,True,0.3124,0.5802
fren,near,3,True,0.3115,0.5767
fren,near,4,True,0.3214,0.6072
fren,long-near,3-3,True,0.3275,0.5912
fren,long-near,3-2,True,0.3253,0.5858
fren,near-long,3-4,True,0.3315,0.6000
fren,near-long,3-3,True,0.3264,0.5962
fren,far,3,True,0.3947,0.8952
fren,far,2,True,0.4126,0.9102
